year,plantgrp,site,td,total_cov,Totprecip,Mean_tempC,Cvprecip,Max_tempC,length,Start,wintprecip
2000,nat_annu_forb,s40,14,NA,0.191323983,0.075061304,0.855994671,-0.330314934,-0.113926293,0.783991878,0.83392952
2000,nat_annu_forb,s41,11,NA,0.191323983,0.075061304,0.855994671,-0.330314934,-0.113926293,0.783991878,0.83392952
2000,nat_annu_forb,s42,6,NA,0.191323983,0.075061304,0.855994671,-0.330314934,-0.113926293,0.783991878,0.83392952
2000,nat_annu_forb,s43,7,NA,0.191323983,0.075061304,0.855994671,-0.330314934,-0.113926293,0.783991878,0.83392952
2000,nat_annu_forb,s50,8,NA,0.191323983,0.075061304,0.855994671,-0.330314934,-0.113926293,0.783991878,0.83392952
2000,nat_annu_forb,s51,13,NA,0.191323983,0.075061304,0.855994671,-0.330314934,-0.113926293,0.783991878,0.83392952
2000,nat_annu_forb,s52,13,NA,0.191323983,0.075061304,0.855994671,-0.330314934,-0.113926293,0.783991878,0.83392952
2000,nat_annu_forb,s53,8,NA,0.191323983,0.075061304,0.855994671,-0.330314934,-0.113926293,0.783991878,0.83392952
2000,nat_annu_forb,s54,11,NA,0.191323983,0.075061304,0.855994671,-0.330314934,-0.113926293,0.783991878,0.83392952
2000,nat_annu_forb,s56,9,NA,0.191323983,0.075061304,0.855994671,-0.330314934,-0.113926293,0.783991878,0.83392952
2000,nat_annu_forb,s57,11,NA,0.191323983,0.075061304,0.855994671,-0.330314934,-0.113926293,0.783991878,0.83392952
2000,nat_annu_forb,s58,3,NA,0.191323983,0.075061304,0.855994671,-0.330314934,-0.113926293,0.783991878,0.83392952
2000,nat_annu_forb,s59,9,NA,0.191323983,0.075061304,0.855994671,-0.330314934,-0.113926293,0.783991878,0.83392952
2000,nat_annu_forb,s60,12,NA,0.191323983,0.075061304,0.855994671,-0.330314934,-0.113926293,0.783991878,0.83392952
2000,nat_annu_forb,s61,12,NA,0.191323983,0.075061304,0.855994671,-0.330314934,-0.113926293,0.783991878,0.83392952
2000,nat_annu_forb,s62,9,NA,0.191323983,0.075061304,0.855994671,-0.330314934,-0.113926293,0.783991878,0.83392952
2000,nat_annu_forb,s63,10,NA,0.191323983,0.075061304,0.855994671,-0.330314934,-0.113926293,0.783991878,0.83392952
2000,nat_annu_forb,s64,13,NA,0.191323983,0.075061304,0.855994671,-0.330314934,-0.113926293,0.783991878,0.83392952
2000,nat_annu_forb,s65,8,NA,0.191323983,0.075061304,0.855994671,-0.330314934,-0.113926293,0.783991878,0.83392952
2000,nat_annu_forb,s66,8,NA,0.191323983,0.075061304,0.855994671,-0.330314934,-0.113926293,0.783991878,0.83392952
2000,nat_annu_forb,s67,12,NA,0.191323983,0.075061304,0.855994671,-0.330314934,-0.113926293,0.783991878,0.83392952
2000,nat_annu_forb,s68,10,NA,0.191323983,0.075061304,0.855994671,-0.330314934,-0.113926293,0.783991878,0.83392952
2000,nat_annu_forb,s69,2,NA,0.191323983,0.075061304,0.855994671,-0.330314934,-0.113926293,0.783991878,0.83392952
2000,nat_annu_forb,s70,11,NA,0.191323983,0.075061304,0.855994671,-0.330314934,-0.113926293,0.783991878,0.83392952
2000,nat_annu_forb,s71,12,NA,0.191323983,0.075061304,0.855994671,-0.330314934,-0.113926293,0.783991878,0.83392952
2000,nat_annu_forb,s72,9,NA,0.191323983,0.075061304,0.855994671,-0.330314934,-0.113926293,0.783991878,0.83392952
2000,nat_annu_forb,s73,9,NA,0.191323983,0.075061304,0.855994671,-0.330314934,-0.113926293,0.783991878,0.83392952
2000,nat_annu_forb,s74,6,NA,0.191323983,0.075061304,0.855994671,-0.330314934,-0.113926293,0.783991878,0.83392952
